date,open,high,low,close,volume
2016-01-04 09:15:00,-1.655359524676217,-1.6547543011285792,-1.658612601244768,-1.6566456247149464,0.2518127364298702
2016-01-04 09:30:00,-1.6567591041301282,-1.654489515826488,-1.6572130217908567,-1.6559269217521266,0.22722659469579662
2016-01-04 09:45:00,-1.655964748223854,-1.6414772095522823,-1.6561160541107631,-1.6481346685762943,0.6170925564789634
2016-01-04 10:00:00,-1.648210321519749,-1.6469242214810196,-1.6513877451448453,-1.6484372803501128,1.3277491294590904
2016-01-04 10:15:00,-1.6483616274066581,-1.6434063596103765,-1.6486642391804767,-1.644087236101469,1.6977120241241976
2016-01-04 10:30:00,-1.6441250625731962,-1.6376567359078207,-1.644200715516651,-1.6424985242889203,1.7515673822083588
2016-01-04 10:45:00,-1.6424985242889203,-1.6406450271742805,-1.6447302861208333,-1.6430280948931035,0.5468464372387531
2016-01-04 11:00:00,-1.6428389625344662,-1.6419689536847373,-1.6454868155553803,-1.642195912515102,0.492991079154592
2016-01-04 11:15:00,-1.642195912515102,-1.6420446066281917,-1.6479455362176578,-1.6478320568024758,0.35484037798217855
2016-01-04 11:30:00,-1.6477942303307487,-1.64208243309992,-1.648210321519749,-1.6434820125538312,0.45786801953448686
2016-01-04 11:45:00,-1.6435198390255585,-1.6390941418334593,-1.6441628890449236,-1.6393967536072787,0.5210895268506761
2016-01-04 12:00:00,-1.6393967536072787,-1.6383754388706404,-1.6411367713067364,-1.6404180683439167,0.634654086289016
2016-01-04 12:15:00,-1.6403045889287349,-1.6395480594941878,-1.642574177232375,-1.6415150360240094,0.4122080420283502
2016-01-04 12:30:00,-1.6414015566088276,-1.6409098124763717,-1.6434063596103765,-1.6426120037041023,0.5035279970406236
2016-01-04 12:45:00,-1.6426498301758297,-1.6398506712680063,-1.6438981037428315,-1.6429146154779208,0.1967866096917055
2016-01-04 13:00:00,-1.6430659213648309,-1.6403045889287349,-1.6457137743857442,-1.6403045889287349,0.2693742662399228
2016-01-04 13:15:00,-1.6403802418721893,-1.635462800547635,-1.640455894815644,-1.6364084623408186,0.6533863847530721
2016-01-04 13:30:00,-1.6364841152842733,-1.6361058505669994,-1.6387915300596407,-1.6385267447575496,0.7130955861072508
2016-01-04 13:45:00,-1.638564571229277,-1.6382619594554575,-1.6518038363338468,-1.6435576654972859,1.083058480772358
2016-01-04 14:00:00,-1.6435576654972859,-1.6417419948543734,-1.6486264127087493,-1.647567271500384,0.17454200526563893
2016-01-04 14:15:00,-1.6475294450286566,-1.644692459649106,-1.648096842104567,-1.6455246420271075,0.29161887066598935
2016-01-04 14:30:00,-1.6452976831967436,-1.643822450799377,-1.6458650802726542,-1.6452976831967436,0.18273738584366347
2016-01-04 14:45:00,-1.645335509668471,-1.642687656647557,-1.6479833626893852,-1.6442763684601056,0.36888960183022057
2016-01-04 15:00:00,-1.6441250625731962,-1.6439359302145589,-1.6515390510317556,-1.6485129332935675,1.1989645775187048
2016-01-04 15:15:00,-1.6485129332935675,-1.620786129517426,-1.648853371539114,-1.6232826766514308,2.9012622004397994
2016-01-04 15:30:00,-1.6232826766514308,-1.6219965766127007,-1.6293727385995325,-1.6266492326351638,3.0651698120002897
2016-01-04 15:45:00,-1.626800538522073,-1.6171169617598737,-1.627670547371802,-1.620899608932608,2.258510209391876
2016-01-04 16:00:00,-1.6208617824608806,-1.619424376535242,-1.625060520822616,-1.622412667801702,2.068845687443308
2016-01-04 16:15:00,-1.6218452707257915,-1.6212400471781536,-1.6242661649163417,-1.6235096354817946,1.0455938838442458
2016-01-04 16:30:00,-1.6234718090100675,-1.6183274088551485,-1.62528747965298,-1.6184408882703312,1.786690441828464
2016-01-04 16:45:00,-1.6184408882703312,-1.6091734026971323,-1.6184787147420585,-1.6139017116630499,2.7361838202253055
2016-01-04 17:00:00,-1.6137504057761407,-1.6020998524841188,-1.6138260587195954,-1.6061094584872169,3.093268259696374
2016-01-04 17:15:00,-1.6060338055437622,-1.6053151025809433,-1.6190839382896953,-1.617911317666148,2.5371531490447095
2016-01-04 17:30:00,-1.617911317666148,-1.6150743322865972,-1.6238879001990678,-1.6223370148582472,2.5113962386566326
2016-01-04 17:45:00,-1.6227152795755204,-1.6217696177823369,-1.6278596797304385,-1.6232070237079763,2.2046548513077147
2016-01-04 18:00:00,-1.6233961560666128,-1.6201052530263336,-1.625438785539889,-1.6239257266707952,1.666101270466103
2016-01-04 18:15:00,-1.6239635531425225,-1.623169197236249,-1.6353871476041797,-1.6332310387157214,1.5080475021756299
2016-01-04 18:30:00,-1.6331175593005394,-1.6328527739984482,-1.6482859744632037,-1.647567271500384,1.8709857849167162
2016-01-04 18:45:00,-1.6474916185569293,-1.6398884977397334,-1.648210321519749,-1.6403802418721893,1.1673538238606103
2016-01-04 19:00:00,-1.6403802418721893,-1.6324745092811743,-1.641212424250191,-1.6342901799240868,1.1954522715566944
2016-01-04 19:15:00,-1.6344036593392688,-1.6297510033168057,-1.6368245535298191,-1.6299023092037157,1.2516491669488625
2016-01-04 19:30:00,-1.6298644827319884,-1.6261574885027088,-1.632814947526721,-1.6324745092811743,0.6217756310949775
2016-01-04 19:45:00,-1.6324745092811743,-1.6290701268257142,-1.6337227828481773,-1.6298644827319884,0.5222602955046796
2016-01-04 20:00:00,-1.6299023092037157,-1.6294862180147145,-1.6312262357141722,-1.6299779621471704,0.3712311391382276
2016-01-04 20:15:00,-1.6299023092037157,-1.6286162091649856,-1.6328527739984482,-1.631301888657627,1.4588752187074827
2016-01-04 20:30:00,-1.630923623940354,-1.6305831856948072,-1.63353365048954,-1.6331553857722667,0.30215578855202085
2016-01-04 20:45:00,-1.6331175593005394,-1.6326636416398117,-1.6341388740371776,-1.6341010475654503,0.09141743083139016
2016-01-04 21:00:00,-1.634176700508905,-1.6316423269031728,-1.6346684446413609,-1.6322097239790831,-0.1942501207454648
2016-01-04 21:15:00,-1.6320962445639013,-1.6317179798466281,-1.634176700508905,-1.6329284269419029,-0.037367121108995274
2016-01-04 21:30:00,-1.6329284269419029,-1.6327392945832664,-1.6338740887350864,-1.6331553857722667,-0.41435462769812353
2016-01-04 21:45:00,-1.6331175593005394,-1.6328906004701755,-1.6348954034717247,-1.633836262263359,-0.26332547133167156
2016-01-04 22:00:00,-1.6339119152068138,-1.6327771210549937,-1.6357275858497262,-1.6353871476041797,-0.22937318036556992
2016-01-04 22:15:00,-1.6353871476041797,-1.6344036593392688,-1.6370136858884556,-1.6353871476041797,-0.394451560580064
2016-01-04 22:30:00,-1.6356141064345444,-1.635424974075907,-1.6381484800402757,-1.6365219417560006,-0.1684932103573877
2016-01-04 22:45:00,-1.636446288812546,-1.6330797328288122,-1.6367489005863645,-1.6337984357916318,0.2541542737378772
2016-01-04 23:00:00,-1.6339119152068138,-1.6336471299047226,-1.6402289359852802,-1.638072827096821,-0.4330869261621796
2016-01-04 23:15:00,-1.638072827096821,-1.6359923711518174,-1.638072827096821,-1.6369758594167283,-1.0828635291341242
2016-01-04 23:30:00,-1.6369758594167283,-1.6369758594167283,-1.63894283594655,-1.6380350006250937,-1.201111163188478
2016-01-04 23:45:00,-1.6379971741533665,-1.635576279962817,-1.6380350006250937,-1.6361815035104539,-1.2280388422305588
