atr,macd,macd_signal,macd_histogram,rsi
0.19750673005072342,1.4271778625389846,1.364511193039443,0.4721206207859064,0.5852035965552161
0.16942366537316447,1.3210855456780195,1.3719482523247575,0.09378718966921659,0.5769825855003797
0.13058286658408924,1.2134652663736825,1.3550604740840728,-0.21296847275712122,0.5698606609019216
0.2106657830209593,0.9956976290596987,1.2953391446034432,-0.7531338231171393,0.48618446414865063
0.3392740771777419,0.6295610310013997,1.1698665258978838,-1.5823101849333827,0.3909413389675464
0.33871759196289775,0.4275231776648427,1.0266152430202446,-1.8065133640638793,0.4491957623132283
0.3452208727085092,0.3422797079146095,0.8939252337052016,-1.6733272548330513,0.4934119863790977
0.3231795653347389,0.3276720531561813,0.7846734272942764,-1.3777527643456613,0.5231159222398686
0.29569262004255675,0.2792661116372771,0.6870000603816621,-1.231739378876121,0.5044432277558293
0.23634530963316036,0.271425960452831,0.6071976574552991,-1.0063722252439382,0.5230473498151293
0.13209697370872572,0.26051156329048714,0.5410396592265833,-0.8343053657236527,0.5221295438420671
0.07741504959236474,0.23178143531561202,0.4820166200631695,-0.7443278235459424,0.5108666776979245
0.004940742783862268,0.18262548511772772,0.4243671123025442,-0.727006493655232,0.49477536616985934
-0.08724597906446391,0.12967521521737901,0.3670112608360317,-0.7233032528450953,0.4863581462654754
-0.14668241709575844,0.11075759583895689,0.3171121900962771,-0.6292672820411898,0.5045135965764901
-0.2114461457447814,0.08522949205307213,0.2717757744295524,-0.5717285511923521,0.49731992249233364
-0.29392031155587967,0.061122829994312684,0.2303911180706282,-0.5218937046936595,0.49492001097687455
-0.35582524812512767,0.03258023510270596,0.19122654762451802,-0.49389664514081655,0.48732232020487687
-0.3973538193823807,-0.010275809785346705,0.15080067830031554,-0.509802633102843,0.46963731345927173
-0.44165971440750507,-0.04395795566738184,0.11131250554463472,-0.4979775291643551,0.46963731345927173
-0.48024816918456653,-0.08462952621775381,0.07109130799515027,-0.5072215582748406,0.455606413747266
-0.5007639049999275,-0.08080694676229017,0.0397255156089326,-0.3955478143491882,0.4946300942319946
-0.47067411199848175,-0.1319594064994137,0.003778138480733915,-0.4533252634682884,0.44117855110505105
-0.5186774103772668,-0.15667945016943613,-0.030225448918760785,-0.42881251984939284,0.45738456085955886
-0.5651664518244113,-0.18807413559846214,-0.06409038847355511,-0.4270640596017307,0.4439962122857048
-0.6000384637071021,-0.18696776113856078,-0.09094756332017974,-0.33869054003002214,0.47306489648121963
-0.5877467820384179,-0.22447769736451287,-0.12039305191718187,-0.37133124721730015,0.4318765859108313
-0.6356841305897227,-0.2646349644701872,-0.15247096502573812,-0.4045282263940792,0.41909353345537753
-0.6833882996416267,-0.28359680715747093,-0.18215706943062251,-0.37436560506072986,0.43249328756958727
-0.7072631603625337,-0.3221384449615418,-0.21408463260672128,-0.4026321934574787,0.40483733911859504
-0.6630616039146119,-0.30180646501954583,-0.23531216098106175,-0.2676961939840995,0.4692925585104187
-0.6507355529299322,-0.22684365806417006,-0.23638679575286495,-0.013552082219885516,0.5337602998128664
-0.6437572177144282,-0.12983295059540603,-0.21666046871489045,0.24876468812825495,0.5699607472556304
-0.6576992026987786,-0.05936544598569128,-0.18592593912287436,0.3875869295092747,0.5610848105053236
-0.6208670291319561,-0.020689502665828308,-0.15313113566444045,0.4135686312985341,0.5385068267138033
-0.6198512600928674,-0.0029939908770285524,-0.12314023913122149,0.37820912169001925,0.5217119276527878
-0.633586263383328,0.0252423523553513,-0.0931556642928621,0.3781294000601331,0.5395560639834597
-0.6297474275165684,0.08180051236916634,-0.05716615139190424,0.4538564733140728,0.5800508079378128
-0.6663883462154901,0.12738448482757206,-0.018701451673462374,0.48507055936972354,0.5827948687521375
-0.7080702568175797,0.1667631305228533,0.020426603957634563,0.493436008149944,0.5891552347036814
-0.728267570501917,0.17801938209573118,0.05411766713427283,0.42487118340273444,0.5591133730522092
-0.7636149864167034,0.19041141372563075,0.08370015312221372,0.37305873796290234,0.5670385641823432
