open,high,low,close,volume
-1.6553533264461184,-1.654748094825752,-1.6586064464055863,-1.6566394436393963,0.2518127464328181
-1.6567529245682149,-1.654483305991842,-1.6572068482834899,-1.6559207310902113,0.22722660469845665
-1.6559585580664842,-1.6414708261539688,-1.6561098659715754,-1.6481283739779968,0.6170925664861876
-1.6482040279305425,-1.6469179107372647,-1.6513814939374647,-1.6484309897881797,1.3277491394746337
-1.648355335835634,-1.6434000019438861,-1.6486579516458169,-1.6440808875167983,1.697712034144072
-1.6441187144930711,-1.6376503015504074,-1.6441943684456168,-1.6424921545133366,1.7515673922288637
-1.6424921545133366,-1.6406386326759652,-1.6447239461134366,-1.6430217321811575,0.546846447245155
-1.6428325972997924,-1.641962576845516,-1.6454804856388947,-1.642189538703154,0.49299108916036327
-1.642189538703154,-1.6420382307980617,-1.6479392390966325,-1.647825758167814,0.3548403879863325
-1.647787931191541,-1.6420760577743354,-1.6482040279305425,-1.6434756558964316,0.45786802953984695
-1.6435134828727045,-1.6390877266487767,-1.644156541469344,-1.6393903424589602,0.5210895368567764
-1.6393903424589602,-1.6383690140995923,-1.6411303833675133,-1.640411670818328,0.6346540962964456
-1.6402981898895095,-1.6395416503640516,-1.6425678084658824,-1.6415086531302416,0.4122080520331758
-1.641395172201423,-1.6409034215098752,-1.6434000019438861,-1.6426056354421552,0.5035280070465182
-1.642643462418428,-1.6398442661742345,-1.643891752635433,-1.642908251252338,0.1967866196940092
-1.6430595591574304,-1.6402981898895095,-1.6457074474965316,-1.6402981898895095,0.2693742762430762
-1.6403738438420552,-1.6354563369265802,-1.640449497794601,-1.6364020113334024,0.653386394760721
-1.636477665285948,-1.6360993955232188,-1.6387851108385938,-1.6385203220046838,0.7130955961155987
-1.6385581489809566,-1.638255533170773,-1.6517975906764668,-1.6435513098489773,1.083058490785037
-1.6435513098489773,-1.6417356149878788,-1.648620124669544,-1.6475609693339033,0.17454201526768223
-1.6475231423576304,-1.6446861191371638,-1.648090547001724,-1.6455183126151676,0.2916188806694032
-1.6452913507575304,-1.6438160986828874,-1.645858755401624,-1.6452913507575304,0.1827373958458027
-1.6453291777338033,-1.642681289394701,-1.6479770660729054,-1.6442700223981626,0.36888961183453906
-1.6441187144930711,-1.643929579611706,-1.651532801842557,-1.6485066437407254,1.1989645875327406
-1.6485066437407254,-1.6207794701326999,-1.6488470865271818,-1.6232760505667108,2.9012622104737633
-1.6232760505667108,-1.621989933373432,-1.629366193746645,-1.6266426514549972,3.0651698220361725
-1.6267939593600886,-1.6171102534342299,-1.627663979814365,-1.6208929510615184,2.2585102194183153
-1.6208551240852456,-1.6194176989868763,-1.6250539184515365,-1.6224060301124343,2.0688456974675273
-1.6218386254683406,-1.6212333938479742,-1.6242595519498058,-1.623503012424348,1.0455938938564862
-1.623465185448075,-1.618320716674962,-1.6252808803091736,-1.6184341976037813,1.78669045184938
-1.6184341976037813,-1.609166588416924,-1.6184720245800541,-1.6138949604510349,2.7361838302573367
-1.6137436525459434,-1.6020929438538938,-1.6138193064984891,-1.6061026033388195,3.0932682697325857
-1.6060269493862738,-1.6053082368370897,-1.6190772562004199,-1.6179046199359606,2.537153159074411
-1.6179046199359606,-1.6150675967154942,-1.6238812821870763,-1.6223303761598886,2.5113962486860326
-1.622708645922617,-1.6217629715157948,-1.6278531146957294,-1.623200396614165,2.2046548613335237
-1.6233895314955293,-1.6200985845597877,-1.625432188214265,-1.6239191091633491,1.6661012804856072
-1.623956936139622,-1.6231625696378922,-1.6353806829740336,-1.6332245453264793,1.508047512193284
-1.6331110643976607,-1.632846275563751,-1.6482796818830883,-1.6475609693339033,1.870985794938619
-1.6474853153813576,-1.6398820931505074,-1.6482040279305425,-1.6403738438420552,1.167353833874276
-1.6403738438420552,-1.6324680058010215,-1.641206037320059,-1.63428370066212,1.195452281570689
-1.6343971815909386,-1.6297444635093736,-1.6368181080724038,-1.6298957714144657,1.2516491769635152
-1.6298579444381929,-1.62615090076345,-1.632808448587478,-1.6324680058010215,0.6217756411022564
-1.6324680058010215,-1.6290635779364622,-1.6337162960180274,-1.6298579444381929,0.5222603055107936
-1.6298957714144657,-1.6294796746754636,-1.6312197155840165,-1.6299714253670115,0.37123114914257344
-1.6298957714144657,-1.6286096542211872,-1.632846275563751,-1.6312953695365622,1.4588752287245612
-1.6309170997738336,-1.6305766569873772,-1.6335271611366622,-1.6331488913739336,0.3021557985555581
-1.6331110643976607,-1.6326571406823867,-1.6341323927570286,-1.6340945657807557,0.09141744083246034
-1.6341702197333015,-1.631635812323018,-1.6346619704248495,-1.6322032169671115,-0.19425011074773882
-1.6320897360382929,-1.6317114662755645,-1.6341702197333015,-1.6329219295162967,-0.03736711110943272
-1.6329219295162967,-1.6327327946349324,-1.6338676039231188,-1.6331488913739336,-0.41435461770297427
-1.6331110643976607,-1.6328841025400238,-1.6348889322824867,-1.633829776946846,-0.2633254613347542
-1.6339054308993917,-1.6327706216112052,-1.6357211257604902,-1.6353806829740336,-0.2293731703682551
-1.6353806829740336,-1.6343971815909386,-1.637007242953768,-1.6353806829740336,-0.3944515505846817
-1.6356076448316716,-1.6354185099503065,-1.6381420522419545,-1.636515492262221,-0.16849320035936022
-1.6364398383096752,-1.6330732374213879,-1.636742454119858,-1.633791949970573,0.25415428374085247
-1.6339054308993917,-1.6336406420654817,-1.640222535936964,-1.6380663982894088,-0.4330869161672496
-1.6380663982894088,-1.6359859145944002,-1.6380663982894088,-1.6369694159774952,-1.082863519146801
-1.6369694159774952,-1.6369694159774952,-1.6389364187436852,-1.638028571313136,-1.2011111532025391
-1.637990744336863,-1.6355698178553988,-1.638028571313136,-1.6361750494757645,-1.228038832244935
-1.6410169024386938,-1.6385581489809566,-1.6412816912726047,-1.6393146885064145,-1.0430573849102158
-1.6393146885064145,-1.6390877266487767,-1.640676459652238,-1.6403360168657823,-1.1261819593454379
-1.6402603629132366,-1.6389364187436852,-1.6402981898895095,-1.6395794773403245,-1.0418866162561986
-1.6393903424589602,-1.6392768615301416,-1.6418869228929702,-1.641659961035333,-0.6403129679282956
-1.6416221340590602,-1.6367046271435852,-1.6432486940387947,-1.637990744336863,-0.02917173053131225
-1.637990744336863,-1.6335271611366622,-1.6383690140995923,-1.6336406420654817,0.0750266796762194
-1.633564988112936,-1.6292527128178265,-1.633829776946846,-1.630841445821288,-0.045562491687553185
-1.630841445821288,-1.6280044226008215,-1.631371023489108,-1.631371023489108,0.10312512737263244
-1.631333196512835,-1.6267939593600886,-1.6331110643976607,-1.6326949676586595,0.7880247899727002
-1.6326949676586595,-1.631824947204383,-1.6361750494757645,-1.6336784690417545,0.669777155916962
-1.6334136802078436,-1.63061448396365,-1.6340945657807557,-1.6325436597535672,0.748218655736115
-1.6325436597535672,-1.6282313844584586,-1.6326949676586595,-1.6298201174619202,0.4461603429996749
-1.629630982580555,-1.6292148858415536,-1.6312953695365622,-1.629630982580555,0.030537470823565442
-1.629668809556828,-1.62864748119746,-1.6302740411771943,-1.6292148858415536,-0.3874269386605784
-1.6291770588652807,-1.629101404912735,-1.631824947204383,-1.6305766569873772,-0.32771773730570075
-1.63061448396365,-1.6294418476991908,-1.6311818886077436,-1.6301227332721029,-0.41318384904895705
-1.6300092523432843,-1.629668809556828,-1.630652310939923,-1.6305766569873772,-0.4190376923190431
-1.63061448396365,-1.6268317863363613,-1.6309170997738336,-1.6280422495770943,-0.14624859593303322
-1.6280422495770943,-1.6277396337669108,-1.62864748119746,-1.6281935574821857,-0.7292913856336036
-1.6282692114347315,-1.626907440288907,-1.6282692114347315,-1.627134402146545,-0.6332883560041924
-1.6272100560990908,-1.6270209212177265,-1.6278909416720029,-1.6276261528380922,-0.8077328854527567
-1.6275504988855465,-1.6274748449330008,-1.6291392318890079,-1.62864748119746,-0.5852868411894868
-1.6283448653872772,-1.623692147305712,-1.628420519339823,-1.6249782644989899,-0.17200550632141184
