date,macd,macd_signal,macd_histogram
2016-01-04 09:15:00,1.6088935557661443,1.2054149692918499,0.40347858647429446
2016-01-04 09:30:00,1.5951614996497483,1.2833642753634296,0.31179722428631873
2016-01-04 09:45:00,1.7305547719274728,1.3728023746762381,0.35775239725123464
2016-01-04 10:00:00,1.8105289337183876,1.460347686484668,0.3501812472337196
2016-01-04 10:15:00,1.9442918361617103,1.5571365164200766,0.38715531974163375
2016-01-04 10:30:00,2.060438932535817,1.6577969996432247,0.4026419328925923
2016-01-04 10:45:00,2.116788493141712,1.7495952983429222,0.36719319479878987
2016-01-04 11:00:00,2.154363921044933,1.8305490228833243,0.32381489816160847
2016-01-04 11:15:00,2.0403918042052283,1.8725175791477051,0.16787422505752314
2016-01-04 11:30:00,2.019582974154673,1.9019306581490987,0.11765231600557446
2016-01-04 11:45:00,2.066418415292901,1.934828209577859,0.13159020571504199
2016-01-04 12:00:00,2.0580254598849024,1.9594676596392677,0.09855780024563465
2016-01-04 12:15:00,2.00486259784293,1.9685466472800002,0.0363159505629298
2016-01-04 12:30:00,1.9172294427064571,1.9582832063652915,-0.0410537636588344
2016-01-04 12:45:00,1.8203404528678675,1.9306946556658067,-0.11035420279793917
2016-01-04 13:00:00,1.7787283901411683,1.900301402560879,-0.12157301241971075
2016-01-04 13:15:00,1.8080211798551318,1.8818453580197296,-0.07382417816459785
2016-01-04 13:30:00,1.7656947765840414,1.858615241732592,-0.09292046514855068
2016-01-04 13:45:00,1.6063143207270514,1.808155057531484,-0.2018407368044326
2016-01-04 14:00:00,1.3785796123406726,1.7222399684933216,-0.343660356152649
2016-01-04 14:15:00,1.227521597367513,1.62329629426816,-0.3957746969006468
2016-01-04 14:30:00,1.099968775409934,1.5186307904965148,-0.41866201508658074
2016-01-04 14:45:00,1.0090374331309704,1.416712119023406,-0.4076746858924356
2016-01-04 15:00:00,0.8369511970645362,1.300759934631632,-0.46380873756709584
2016-01-04 15:15:00,1.2246676651373036,1.2855414807327663,-0.06087381559546268
2016-01-04 15:30:00,1.4434806510616909,1.3171293147985512,0.12635133626313966
2016-01-04 15:45:00,1.7197189659475498,1.397647245028351,0.3220717209191988
2016-01-04 16:00:00,1.8846382272859046,1.4950454414798617,0.38959278580604284
2016-01-04 16:15:00,1.969237212923872,1.5898837957686638,0.3793534171552082
2016-01-04 16:30:00,2.119971606652598,1.6959013579454507,0.42407024870714727
2016-01-04 16:45:00,2.309635629013883,1.8186482121591372,0.4909874168547457
2016-01-04 17:00:00,2.5962426479120495,1.9741670993097196,0.6220755486023299
2016-01-04 17:15:00,2.5423166069017498,2.0877970008281257,0.45451960607362407
2016-01-04 17:30:00,2.377761257313523,2.1457898521252052,0.23197140518831771
2016-01-04 17:45:00,2.2033915531367256,2.1573101923275093,0.04608136080921632
2016-01-04 18:00:00,2.0265105421365206,2.1311502622893115,-0.10463972015279088
2016-01-04 18:15:00,1.6685950999892611,2.0386392298293012,-0.3700441298400401
2016-01-04 18:30:00,1.0668255074240278,1.8442764853482465,-0.7774509779242187
2016-01-04 18:45:00,0.7347630003437189,1.622373788347341,-0.8876107880036221
2016-01-04 19:00:00,0.5946597483539335,1.4168309803486596,-0.8221712319947261
2016-01-04 19:15:00,0.570651106500236,1.2475950055789748,-0.6769438990787389
