date,atr
2016-01-04 09:15:00,1.0256490674692877
2016-01-04 09:30:00,1.0038169912214834
2016-01-04 09:45:00,1.2085443489913696
2016-01-04 10:00:00,1.206505466920546
2016-01-04 10:15:00,1.2196122192833552
2016-01-04 10:30:00,1.2560684893345453
2016-01-04 10:45:00,1.243492168667787
2016-01-04 11:00:00,1.2210998709058067
2016-01-04 11:15:00,1.2453070229839758
2016-01-04 11:30:00,1.2720708070565412
2016-01-04 11:45:00,1.2769228922667986
2016-01-04 12:00:00,1.2378569713906
2016-01-04 12:15:00,1.2065814734341254
2016-01-04 12:30:00,1.1675399396174078
2016-01-04 12:45:00,1.1605728010733027
2016-01-04 13:00:00,1.1798176009966266
2016-01-04 13:15:00,1.189830629496863
2016-01-04 13:30:00,1.1555570131042325
2016-01-04 13:45:00,1.328731512168227
2016-01-04 14:00:00,1.3638221184419206
2016-01-04 14:15:00,1.330691967124647
2016-01-04 14:30:00,1.2742139694729002
2016-01-04 14:45:00,1.2831986859391282
2016-01-04 15:00:00,1.3351130655149201
2016-01-04 15:15:00,1.769747846549574
2016-01-04 15:30:00,1.7826230003674648
2016-01-04 15:45:00,1.8545785003412145
2016-01-04 16:00:00,1.8285371788882714
2016-01-04 16:15:00,1.7550702375391223
2016-01-04 16:30:00,1.761136649143481
2016-01-04 16:45:00,1.8110554599189492
2016-01-04 17:00:00,1.9045514984961756
2016-01-04 17:15:00,2.0285121057464397
2016-01-04 17:30:00,2.0500469553359744
2016-01-04 17:45:00,2.0186150299548262
2016-01-04 18:00:00,1.9751425278152015
2016-01-04 18:15:00,2.064775204399815
2016-01-04 18:30:00,2.2087198326569655
2016-01-04 18:45:00,2.2080969874671856
2016-01-04 19:00:00,2.215375774076685
2016-01-04 19:15:00,2.1907060759283588
2016-01-04 19:30:00,2.1599413562191896
2016-01-04 19:45:00,2.093516973632106
2016-01-04 20:00:00,1.9768371898012442
2016-01-04 20:15:00,1.915634533386878
2016-01-04 20:30:00,1.834517781002099
2016-01-04 20:45:00,1.73133793950194
2016-01-04 21:00:00,1.6648138009661
2016-01-04 21:15:00,1.5923271008970832
2016-01-04 21:30:00,1.500018022261574
2016-01-04 21:45:00,1.4307310206714596
2016-01-04 22:00:00,1.384250233480639
2016-01-04 22:15:00,1.3346609310891686
2016-01-04 22:30:00,1.2914708645828006
2016-01-04 22:45:00,1.2685086599697453
2016-01-04 23:00:00,1.30218661282905
2016-01-04 23:15:00,1.2484589976269718
2016-01-04 23:30:00,1.196426212082187
2016-01-04 23:45:00,1.1573957683620208
2016-01-05 01:00:00,1.171153213479029
2016-01-05 01:15:00,1.1174994125162463
2016-01-05 01:30:00,1.064106597336523
2016-01-05 01:45:00,1.0373846975267589
2016-01-05 02:00:00,1.0868572191319916
2016-01-05 02:15:00,1.1006531320511495
2016-01-05 02:30:00,1.108463622618927
2016-01-05 02:45:00,1.0928590781461376
2016-01-05 03:00:00,1.134083429707133
2016-01-05 03:15:00,1.135220327585185
2016-01-05 03:30:00,1.1198474470433912
2016-01-05 03:45:00,1.1241440579688677
2016-01-05 04:00:00,1.0831337681139455
2016-01-05 04:15:00,1.036481356105811
2016-01-05 04:30:00,1.013875544955398
2016-01-05 04:45:00,0.974313006030015
2016-01-05 05:00:00,0.9232906484564419
2016-01-05 05:15:00,0.9344841735667071
2016-01-05 05:30:00,0.8848781611690858
2016-01-05 05:45:00,0.8473868639427317
2016-01-05 06:00:00,0.8032878022325379
2016-01-05 06:15:00,0.7773386735016462
2016-01-05 06:30:00,0.8153859111086675
2016-01-05 06:45:00,0.7821440603151848
2016-01-05 07:00:00,0.7555623417212327
2016-01-05 07:15:00,0.7223078887411584
2016-01-05 07:30:00,0.7550001824024924
2016-01-05 07:45:00,0.7639287408023059
2016-01-05 08:00:00,0.7572195450307015
2016-01-05 08:15:00,0.7617038632427897
2016-01-05 08:30:00,0.763010730154017
2016-01-05 08:45:00,0.7863671065715814
2016-01-05 09:00:00,0.8294837418164593
2016-01-05 09:15:00,0.8330920459724181
2016-01-05 09:30:00,0.872871185545824
