date,atr,macd,macd_signal,macd_histogram,rsi
2016-01-04 17:30:00,-5.6926165009916945,-5.691376873413855,-5.692254339393846,-5.699493639331278,0.6793929994065653
2016-01-04 17:45:00,-5.692735396875372,-5.69203645248237,-5.692210762011551,-5.700196795782088,0.6102088715673508
2016-01-04 18:00:00,-5.692899838012681,-5.69270553093854,-5.692309715796949,-5.70076692045286,0.5502741337845688
2016-01-04 18:15:00,-5.692560789222014,-5.694059398773856,-5.692659652392329,-5.701770851692795,-0.15390503039157155
2016-01-04 18:30:00,-5.692016297480907,-5.696335680821811,-5.693394858078226,-5.703311928054854,-0.9554259752465581
2016-01-04 18:45:00,-5.692018653484503,-5.697591756125389,-5.694234237687659,-5.703728623748999,-0.46518439242125176
2016-01-04 19:00:00,-5.691991120402914,-5.698121717295419,-5.695011733609211,-5.703481088997477,-0.09308163304826735
2016-01-04 19:15:00,-5.692084437166867,-5.6982125335166485,-5.695651893590698,-5.702931745237218,0.15689259545132886
2016-01-04 19:30:00,-5.692200809246895,-5.698513474685267,-5.696224209809611,-5.702660370186924,-0.0002479403865793766
2016-01-04 19:45:00,-5.692452069249888,-5.698562217136825,-5.696691811275055,-5.702241511173039,0.1563155224650797
2016-01-04 20:00:00,-5.692893427704312,-5.698630072266458,-5.697079463473336,-5.701921714104391,0.1485917029314011
2016-01-04 20:15:00,-5.6931249357595615,-5.698808688320935,-5.697425308442855,-5.7017544851893485,0.05380876614239038
2016-01-04 20:30:00,-5.69343177181363,-5.699114292315671,-5.697763105217419,-5.701722292409521,-0.08160807570741384
2016-01-04 20:45:00,-5.693822064749365,-5.6994434857081036,-5.6980991813155555,-5.701715409703817,-0.1524434041154794
2016-01-04 21:00:00,-5.694073702093915,-5.6995610971067165,-5.698391564473788,-5.7015406379441975,0.00034425021528444846
2016-01-04 21:15:00,-5.694347893704992,-5.699719806082204,-5.69865721279547,-5.701433698598002,-0.06019429719113575
2016-01-04 21:30:00,-5.694697066380311,-5.699869677912475,-5.698899705818872,-5.701341077404872,-0.08039081365131544
2016-01-04 21:45:00,-5.6949591546609835,-5.700047128068232,-5.699129190268744,-5.701289043110757,-0.14432937378054336
2016-01-04 22:00:00,-5.695134975079237,-5.70031356536552,-5.699366065288099,-5.70131860538869,-0.29315799830909334
2016-01-04 22:15:00,-5.6953225539137255,-5.700522968261637,-5.699597445882807,-5.7012966276901,-0.29315799830909334
2016-01-04 22:30:00,-5.695485926696686,-5.700775824617426,-5.69983312162973,-5.7013138082989645,-0.4112353920626905
2016-01-04 22:45:00,-5.695572784615045,-5.700752059528011,-5.700016909209387,-5.701106255629893,-0.08283061539914365
2016-01-04 23:00:00,-5.6954453928018784,-5.70107007588154,-5.700227542543817,-5.7012136386489916,-0.532653437462154
2016-01-04 23:15:00,-5.695648625413621,-5.701223761123412,-5.700426786259737,-5.701168080174944,-0.39627134976750006
2016-01-04 23:30:00,-5.6958454470827515,-5.7014189428103075,-5.700625217569851,-5.701164830551726,-0.5089413380586069
2016-01-04 23:45:00,-5.69599308548034,-5.701412064447601,-5.7007825869454,-5.70100058281347,-0.2643130861215035
2016-01-05 01:00:00,-5.695941045919463,-5.7016452648293825,-5.700955122522197,-5.701061247618454,-0.61093436238248
2016-01-05 01:15:00,-5.696143999317982,-5.70189492374546,-5.70114308276685,-5.701122946289878,-0.7185104657783279
2016-01-05 01:30:00,-5.696345965499366,-5.7020128100816905,-5.701317028229818,-5.701066887163141,-0.6057444938719726
2016-01-05 01:45:00,-5.6964470450181315,-5.702252424582665,-5.701504107500387,-5.701119422393546,-0.8384838321827432
2016-01-05 02:00:00,-5.696259907924153,-5.702126020062639,-5.701628490012838,-5.700868635361071,-0.29605929235863976
2016-01-05 02:15:00,-5.6962077228531545,-5.701659974076956,-5.701634786825661,-5.700396292562564,0.24647062592312943
2016-01-05 02:30:00,-5.69617817852309,-5.701056855642357,-5.701519200589,-5.699908760364625,0.5511164130424081
2016-01-05 02:45:00,-5.696237205009123,-5.700618757084174,-5.701339111888035,-5.699650750507408,0.4764207413385307
2016-01-05 03:00:00,-5.696081267832243,-5.70037830760184,-5.701146951030796,-5.6996024618823125,0.28641514390471023
2016-01-05 03:15:00,-5.696076967348699,-5.70026829408222,-5.700971219641081,-5.699668179752408,0.145077243257998
2016-01-05 03:30:00,-5.696135117531816,-5.700092747902077,-5.700795525293279,-5.699668327920065,0.2952450268611222
2016-01-05 03:45:00,-5.696118864968647,-5.6997411241502105,-5.700584645064666,-5.699527584396813,0.6360295756066232
2016-01-05 04:00:00,-5.69627399242562,-5.699457727246618,-5.700359261501056,-5.699469571056831,0.6591222892534598
2016-01-05 04:15:00,-5.696450462040003,-5.6992129090428545,-5.700129991009415,-5.699454023344707,0.712648110853824
2016-01-05 04:30:00,-5.696535971847639,-5.69914292859425,-5.699932578526383,-5.6995814553791355,0.4598300592589781
2016-01-05 04:45:00,-5.696685622973651,-5.699065886967474,-5.6997592402146005,-5.699677752064141,0.5265247069902733
2016-01-05 05:00:00,-5.6968786225502726,-5.699056610957536,-5.699618714363187,-5.699809001905617,0.43590253482840563
2016-01-05 05:15:00,-5.6968362813941615,-5.698862151167569,-5.699467401724064,-5.699765854754775,0.8186043120042733
2016-01-05 05:30:00,-5.697023923436708,-5.698739062675169,-5.699321733914285,-5.699788434072152,0.7854551553234845
2016-01-05 05:45:00,-5.697165739786163,-5.698576734701665,-5.6991727340717615,-5.699775105941172,0.9446238987096252
2016-01-05 06:00:00,-5.697332550977262,-5.698509230785521,-5.699040033414513,-5.699840302682277,0.8253932474740554
2016-01-05 06:15:00,-5.697430707375691,-5.698559033445889,-5.698943833420788,-5.6999863053363695,0.5775720688881182
2016-01-05 06:30:00,-5.697286788099926,-5.698326005872817,-5.698820267911194,-5.699876843272891,1.1488471342612459
2016-01-05 06:45:00,-5.697412530292847,-5.698193897855819,-5.698694993900119,-5.699870009266968,1.0644781899019804
2016-01-05 07:00:00,-5.697513079555533,-5.698229870764838,-5.698601969273063,-5.6999990068030435,0.7119247655963681
2016-01-05 07:15:00,-5.697638869418078,-5.698225123771125,-5.698526600172675,-5.700069628909718,0.8312930895149967
2016-01-05 07:30:00,-5.697515206005891,-5.697995408052023,-5.6984203617485445,-5.699946151614747,1.2977293788073994
2016-01-05 07:45:00,-5.6974814324197025,-5.697748962436139,-5.698286081886064,-5.699833985861344,1.4505450266987425
2016-01-05 08:00:00,-5.697506810940119,-5.697763792517124,-5.698181624012276,-5.699953273816117,0.8905084077795916
2016-01-05 08:15:00,-5.697489848346513,-5.697678389647312,-5.698080977139283,-5.699968517819299,1.1203850611014439
2016-01-05 08:30:00,-5.697484904930086,-5.697605954829528,-5.6979859726773325,-5.699991087463465,1.1847700136495194
2016-01-05 08:45:00,-5.697396555998865,-5.697363455855264,-5.697861469312918,-5.699873091853615,1.5431279585047337
2016-01-05 09:00:00,-5.697233460980458,-5.697379736279134,-5.697765122706161,-5.699985718884242,1.0057239137425105
2016-01-05 09:15:00,-5.697219812038944,-5.69761366604441,-5.697734831373811,-5.700249939981868,0.49067023532213516
2016-01-05 09:30:00,-5.697069341589103,-5.698078820354417,-5.6978036291699325,-5.700646296495753,-0.09607411770632142
2016-01-05 09:45:00,-5.69709983815131,-5.69852671282746,-5.697948245901438,-5.700949572237291,-0.21904521856039524
2016-01-05 10:00:00,-5.697079522352565,-5.698808119561851,-5.69812022063352,-5.7010590042396,-0.008469841292423926
2016-01-05 10:15:00,-5.697093080372356,-5.699067529201208,-5.698309682347058,-5.701128952165418,-0.058939933772615555
2016-01-05 10:30:00,-5.697113775634674,-5.699388220814733,-5.698525390040593,-5.7012339360854085,-0.30449257512923095
2016-01-05 10:45:00,-5.697238366406638,-5.699581273475454,-5.698736566727566,-5.701215812059158,-0.12112823378812299
2016-01-05 11:00:00,-5.697245982204241,-5.69957556419506,-5.698904366221064,-5.701042303285265,0.28850183834843396
2016-01-05 11:15:00,-5.696893702534891,-5.699251250008861,-5.698973742978623,-5.7006486123415065,0.945463762892306
2016-01-05 11:30:00,-5.6968124577652945,-5.698690064971592,-5.698917007377217,-5.7001441629056435,1.4309819339529724
2016-01-05 11:45:00,-5.696526268708188,-5.698758381643572,-5.6988852822304885,-5.700244204724353,0.3036818281075335
2016-01-05 12:00:00,-5.696303751979991,-5.6983022228629485,-5.69876867035698,-5.699904657817236,1.02931454189634
2016-01-05 12:15:00,-5.695756691058262,-5.698580962265854,-5.698731128738755,-5.700220938838368,0.02753021017266922
2016-01-05 12:30:00,-5.695783680302516,-5.698705083468313,-5.698725919684666,-5.7003502690949155,0.18028760161438293
2016-01-05 12:45:00,-5.695843866324498,-5.699023487682012,-5.698785433284136,-5.700609159709145,-0.10931076041602586
2016-01-05 13:00:00,-5.695918666580773,-5.699203817241698,-5.6988691100756474,-5.700705812477319,0.01311253686347079
2016-01-05 13:15:00,-5.695998931524951,-5.699180371230014,-5.698931362306521,-5.700620114234762,0.2665214610028006
2016-01-05 13:30:00,-5.696173433219824,-5.699075994088235,-5.698960288662865,-5.700486810736639,0.40477999274674603
2016-01-05 13:45:00,-5.69584913015714,-5.6986468766691445,-5.6988976062641195,-5.700120375716293,0.8634215739429869
2016-01-05 14:00:00,-5.696031630058876,-5.698288077943792,-5.698775700600055,-5.699883482655006,0.9132640149698191
2016-01-05 14:15:00,-5.696047086475598,-5.697731973899262,-5.698566955259896,-5.699536123950635,1.2486175292994723
2016-01-05 14:30:00,-5.696039823735854,-5.697296180455725,-5.698312800299061,-5.699354485467932,1.280978582073568
2016-01-05 14:45:00,-5.695792611478681,-5.6975087980918735,-5.698151999857624,-5.699727903545518,0.3401314738980299
2016-01-05 15:00:00,-5.695411751352968,-5.697602385375424,-5.698042076961184,-5.699931413725508,0.4778817625074028
2016-01-05 15:15:00,-5.694950019888443,-5.697665016161186,-5.697966664801184,-5.700069456671271,0.5342134099806011
2016-01-05 15:30:00,-5.694864409379196,-5.698055726608896,-5.697984477162727,-5.700442354757437,0.018759312320037427
2016-01-05 15:45:00,-5.694193199812875,-5.699453401066112,-5.698278261943404,-5.701546244433977,-1.1952874144855576
2016-01-05 16:00:00,-5.694018447666058,-5.700311468626309,-5.698684903279984,-5.701997670657594,-0.838550367257747
2016-01-05 16:15:00,-5.693875091051305,-5.7004986064931105,-5.69904764392261,-5.701822067881769,-0.221192972785208
2016-01-05 16:30:00,-5.693677128814645,-5.701060185967177,-5.699450152331523,-5.701981138946922,-0.6322806886554146
2016-01-05 16:45:00,-5.693793216620729,-5.701317302328029,-5.699823582330825,-5.701864825308474,-0.4200461147768818
2016-01-05 17:00:00,-5.693471411797473,-5.701079479420849,-5.700074761748829,-5.701375822983288,0.05898582105674174
2016-01-05 17:15:00,-5.6936832504013415,-5.700873008307611,-5.700234411060586,-5.701009702558294,0.07196004325569941
2016-01-05 17:30:00,-5.69353411564914,-5.701293935280561,-5.700446315904581,-5.701218724687249,-0.5416842159753467
2016-01-05 17:45:00,-5.693665822463006,-5.701429137514105,-5.700642880226486,-5.701157362598888,-0.32637982951167804
2016-01-05 18:00:00,-5.693904302953329,-5.701290660626267,-5.700772436306442,-5.700889329631093,-0.06340546202427004
2016-01-05 18:15:00,-5.694177085048831,-5.701050988222421,-5.700828146689638,-5.7005939468440525,0.0707205617473947
2016-01-05 18:30:00,-5.6939764650482125,-5.700423960770858,-5.700747309505881,-5.700047756576246,0.5163856508235314
2016-01-05 18:45:00,-5.694106296275645,-5.699904940138683,-5.7005788356324425,-5.6996972098175105,0.5431112941700921
2016-01-05 19:00:00,-5.694175517918058,-5.699633364807635,-5.700389741467481,-5.699614728651423,0.36942829231563606
2016-01-05 19:15:00,-5.694061470362157,-5.699238897143387,-5.700159572602662,-5.699450429851994,0.5751629052157665
2016-01-05 19:30:00,-5.694306814869145,-5.698816009092824,-5.6998908599006946,-5.699296254503398,0.7096478095798078
2016-01-05 19:45:00,-5.694513019641789,-5.698698545701122,-5.699652397060779,-5.699417253951611,0.41883789937208266
2016-01-05 20:00:00,-5.6941533097712185,-5.699259250713882,-5.6995737677914,-5.700056588233751,-0.372086074190782
2016-01-05 20:15:00,-5.6941489241450265,-5.699334033180701,-5.699525820869261,-5.700179317622709,0.07324424965672567
2016-01-05 20:30:00,-5.694385320062401,-5.699440651874142,-5.699508787070236,-5.700302970115175,0.029909238964789444
2016-01-05 20:45:00,-5.694648060810508,-5.699595138422894,-5.699526057340769,-5.7004401863933944,-0.0457287911164013
2016-01-05 21:00:00,-5.694967687305776,-5.6997038953459755,-5.6995616249418095,-5.700513375715435,-0.017801811565566605
2016-01-05 21:15:00,-5.695078052869298,-5.7000169845252335,-5.699652696858494,-5.700735392978008,-0.3105389816090571
2016-01-05 21:30:00,-5.695237274885874,-5.700109408071116,-5.699744039101019,-5.700736474281365,-0.08453619379590184
2016-01-05 21:45:00,-5.695466180626395,-5.700085224607306,-5.699812276202276,-5.700644053716298,0.05724313475756464
2016-01-05 22:00:00,-5.695616592467613,-5.700214375172175,-5.6998926959962555,-5.700692784487188,-0.15620775607099424
2016-01-05 22:15:00,-5.69585623056688,-5.700335452588545,-5.699981247314714,-5.7007253105851,-0.18333491026402876
2016-01-05 22:30:00,-5.695962570353037,-5.700310020258225,-5.700047001903416,-5.700634123666078,0.014583946698558083
2016-01-05 22:45:00,-5.696142371165314,-5.700302860754545,-5.700098173673642,-5.700575792392172,-0.0061711463146336765
2016-01-05 23:00:00,-5.696214762883108,-5.700442868995902,-5.700167112738094,-5.7006468615690755,-0.25727394161566963
2016-01-05 23:15:00,-5.696471116122555,-5.700515534286882,-5.700236797047851,-5.700649842550299,-0.18777690069828268
